nif,nombre,apellido1,apellido2,fecha_nacimiento,telefono,email,direccion_completa,codigo_postal,empresa
33779353N,CARMELO,BARREIRO,GUIJARRO,27/1/1991,741010863,nh5hd5piv@lycos.at,"Praza Horno, 45, 42206, Dévanos(Soria)",42206,FALSE
99862232G,DESIREE,MURILLO,VICENTE,11/1/1984,608175661,ek924ug331@talk21.com,"Rambla Iglesia, 9, 05903, Santa Cruz del Valle(Ávila)",5903,FALSE
80210101Q,JOSE JAVIER,PAVON,GONZALO,11/6/1956,625177599,h2987i9hcr@msn.com,"Avenida Horno, 31, 24053, Villafranca del Bierzo(León)",24053,FALSE
13976336H,ROMAN,ALCALDE,SANCHEZ,17/10/1999,683878098,86xctkm1o@lycos.at,"Calleja Nueva, 19, 37357, Poveda de las Cintas(Salamanca)",37357,FALSE
27655092F,JENNIFER,DAVILA,ALFARO,10/7/1961,765081385,msplp46hq@lycos.de,"Sector Pedralbes, 86, 23667, Campillo de Arenas(Jaén)",23667,FALSE
44018630B,INMACULADA,CASTAÑO,PELAEZ,20/6/1967,724961692,0ivy7lvga@email.com,"Rambla Iglesia, 66, 49505, Moreruela de Tábara(Zamora)",49505,FALSE
D82030370,PAI SL,NULL,NULL,NULL,649271475,53ycsy9v7@whoever.com,"Estrada Horno, 84, 43540, Capçanes(Tarragona)",43540,TRUE
03242252B,CHRISTIAN,DELGADO,PALACIOS,10/8/1954,701663205,k20dyhnj@lycos.es,"Sector Horno, 18, 26349, Valdemadera(Rioja, La)",26349,FALSE
58979430R,JUAN VICENTE,DELGADO,VILLALBA,16/11/1994,747056537,wyh7p192@msn.com,"Plaza Pedralbes, 38, 19905, San Andrés del Rey(Guadalajara)",19905,FALSE
27516922K,GUADALUPE,REQUENA,PLAZA,4/3/1958,795948499,46ze2vwey@witty.com,"Ronda Real, 68, 25706, Vallfogona de Balaguer(Lleida)",25706,FALSE
